agent|智能体
guide|指南
coding|编程
tools|工具
china|中国
llm|大模型
claude|Claude
code|代码
ecosystem|生态
deepseek|Deepseek
gemini|Gemini
gpt|GPT
grok|Grok
humanoid|人形
robots|机器人
kimi|Kimi
llama|Llama
mcp|MCP
protocol|协议
midjourney|Midjourney
nemotron|Nemotron
notebooklm|NotebookLM
openai|OpenAI
perplexity|Perplexity
prompt|提示词
tips|技巧
sora|Sora
suno|Suno
music|音乐
token|Token
counter|计数器
tts|语音合成
vibe|氛围
age|年龄
diff|差异
calc|计算
calculator|计算器
aspect|宽高
ratio|比
base|进制
currency|货币
discount|折扣
electricity|电费
fuel|油耗
programmer|程序员
salary|工资
scientific|科学
speed|速度
statistics|统计
time|时间
tip|小费
triangle|三角形
csv|CSV
json|JSON
curl|Curl
data|数据
url|URL
number|数字
words|英文单词
weight|重量
bar|条形
chart|图表
maker|制作器
generator|生成器
correlation|相关性
analyzer|分析器
viewer|查看器
aggregator|聚合器
exporter|导出器
filter|过滤器
importer|导入器
merger|合并器
sampler|采样器
transformer|转换
validator|校验器
excel|Excel
heatmap|热力图
histogram|直方图
line|折线
outlier|离群值
detector|检测器
pie|饼图
pivot|透视
table|表
scatter|散点
plot|图
sql|SQL
query|查询
builder|构建器
animation|动画
blob|斑点
button|按钮
card|卡片
clip|裁剪
path|路径
color|颜色
blindness|盲
simulator|模拟器
palette|调色板
contrast|对比度
checker|检查器
cursor|光标
font|字体
pair|配对
loader|加载动画
pattern|图案
scrollbar|滚动条
spacing|间距
text|文本
gradient|渐变
transform|变换
transition|过渡
arrow|箭头
box|盒
shadow|阴影
charset|字符集
crontab|Crontab
css|CSS
minifier|压缩器
docker|Docker
compose|编排
easing|缓动
visualizer|可视化
favicon|Favicon
glassmorphism|毛玻璃
glob|通配符
test|测试
graphql|GraphQL
playground|演练场
entities|实体
template|模板
jsx|JSX
http|HTTP
client|客户端
js|JS
keyboard|键盘
license|许可证
math|数学
symbols|符号
nginx|Nginx
punycode|Punycode
readme|Readme
regex|正则
explainer|解析器
shortcuts|快捷键
cheatsheet|速查表
mongo|Mongo
string|字符串
svg|SVG
tailwind|Tailwind
config|配置
parser|解析器
websocket|WebSocket
extractor|提取器
breakout|打砖块
game|游戏
flappy|飞翔
bird|小鸟
guess|猜
pinball|弹球
shooter|射击
tic|Tic
tac|Tac
toe|Toe
word|词语
chain|接龙
business|商务
github|GitHub
contrib|贡献
meme|表情包
mesh|网格
noise|噪点
texture|纹理
pixel|像素
editor|编辑器
progress|进度
resume|简历
signature|签名
gen|生成器
social|社交
image|图片
size|尺寸
stamp|印章
tweet|推文
uuid|UUID
vcard|电子名片
qr|二维码
wave|波形
bg|背景
white|白
clipboard|剪贴板
history|历史
file|文件
multi|多
pomodoro|番茄
quick|速记
notes|笔记
audio|音频
cutter|剪辑器
batch|批量
resize|调整大小
compare|对比
filters|滤镜
stitcher|拼接器
pdf|PDF
merge|合并
split|拆分
screen|屏幕
recorder|录制器
speech|语音
thumbnail|缩略图
video|视频
ip|IP
rest|Rest
sse|SSE
ssl|SSL
barcode|条码
label|标签
invoice|发票
leave|请假
meeting|会议
scheduler|排程器
purchase|采购
order|订单
quotation|报价
seating|座位
slide|幻灯片
task|任务
tracker|跟踪器
timesheet|工时表
encrypt|加密
decrypt|解密
steganography|隐写术
cookie|Cookie
cors|CORS
csp|CSP
header|请求头
meta|元信息
sitemap|站点地图
heading|标题
alt|替代文本
link|链接
og|OG
robots|Robots
bbcode|BBCode
homophone|同音词
latex|LaTeX
formatter|格式化器
pinyin|拼音
sort|排序
placeholder|占位
random|随机
picker|抽取器
reading|阅读
richtext|富文本
plain|纯文本
shuangpin|双拼
trainer|训练器
filler|填充器
frequency|词频
similarity|相似度
splitter|分割器
typing|打字
chinese|农历
calendar|日历
date|日期
travel|旅行
baggage|行李
limit|限额
distance|距离
driving|驾驶
side|侧
emergency|紧急
contacts|联系人
flight|航班
cost|费用
hotel|酒店
luggage|行李
passport|护照
photo|照片
phrase|短语
book|手册
power|电源
adapter|适配器
season|季节
sim|SIM
card|卡
difference|时差
timezone|时区
insurance|保险
trip|行程
vaccine|疫苗
visa|签证
weather|天气
planner|规划器
to|转
and|与
v3|V3
v4|V4
v7|V7
o3|O3
o4|O4
k2|K2
2025|2025
2024|2024
